1 - 2                        EXTRA CORSA
2 - 4                        ALT E BOTTONIERA MANUTENZIONE
4 - 5                        INTER FOSSA
5 - 6                        ALT CABINA
6 - 7                        PARACADUTE
7 - 8                        PRELIMINARI
8 - 9                        PORTE CABINA (SIA IN IMPIANTO BATTENTE CHE IN AUTOMATICO)
9 - 10                       BLOCCHI
MA - MB - GND                DEVIATORE MANUTENZIONE
GND- UP, GND - DW            PULSANTI ISPEZIONE
CB - 0 CB - 1...             CHIAMATE CABINA (SU SCHEDA PERIFERICA) CABINA
CB - 0, CB - 1... (SALITA)   PRENOTAZIONI SALITA (SU SCHEDA PERIFERICA)
CB - 0, CB - 1... (DISCESA)  PRENOTAZIONI DISCESA (SU SCHEDA PERIFERICA)
GND - FCD                    BISTABILE FINE CORSA DISCESA
GND - FCS                    BISTABILE FINE CORSA SALITA
GND - ID                     INDUTTORE (N.O.) CONTEGGIO DISCESA
GND - IS                     INDUTTORE (N.O.) CONTEGGIO SALITA
GND - IP1, GND - IP2         INDUTTORI (N.O + N.O) CABINA AL PIANO E ZONA SICUREZZA  (SU BOX CABINA E SU QUADRO)
GND - IAX                    INDUTTORE FERMATA CON PIANI CORTI ESTREMI
GND - PA                     PULSANTE APERTURA PORTE
GND - SVR                    CONTATTO SOVRACCARICO
GND - CM1                    COSTOLA MOBILE - FOTOCELLULA LATO 1
GND - CM2                    COSTOLA MOBILE - FOTOCELLULA LATO 2
GND - CCP                    CONTATTO CABINA COMPLETA
GND - PRR                    PULSANTE PARTENZA RAPIDA IN CABINA
CFC - FA1                    CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC - FC1                    CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC - FA2                    CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC - FC2                    CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL                           COMUNE LUMINOSE
CL - 0, CL - 1...            SEGNALAZIONE POSIZIONE (SU PERIFERICA QUADRO)
CL - FS                      SEGNALAZIONE FRECCIA SALITA
CL - FD                      SEGNALAZIONE FRECCIA DISCESA
CL - FSX                     SEGNALAZIONE PROSSIMA PARTENZA SALITA
CL - FDX                     SEGNALAZIONE PROSSIMA PARTENZA DISCESA
CL - SV                      SEGNALAZIONE SOVRACCARICO
CL - GON                     SEGANALZIONE GONG IN CABINA
PE                           RITORNO PRESENTE
CPF - PFD                    PRE-FINE CORSA DISCESA
CPF - PFS                    PRE-FINE CORSA SALITA
CPF - 82                     PONTICELLO PER ESCLUDERE PRE-FINE CORSA
